fixIdx,legIdx,tickLead,togo,area
3185,2,3830.330575079983,58.948,1806.383899206719
3186,2,3831.330575079983,58.938,4516.6023617378905
3187,2,3832.330575079983,58.927,4968.674075551083
3188,2,3833.330575079983,58.918,4065.6495745828597
3189,2,3834.330575079983,58.908,4517.838343392842
3190,2,3835.330575079983,58.899,4066.459101526182
3191,2,3836.330575079983,58.891,3615.051027510577
3192,2,3837.330575079983,58.882,4067.4054043702076
3193,2,3838.330575079983,58.874,3615.891641590944
3194,2,3839.330575079983,58.864,4520.3510324899835
3195,2,3840.330575079983,58.853,4972.794137371641
3196,2,3841.330575079983,58.842,4973.159422375684
3197,2,3842.330575079983,58.831,4973.524223373302
3198,2,3843.330575079983,58.821,4521.755288195415
3199,2,3844.330575079983,58.809,5426.503266560107
3200,2,3845.330575079983,58.797,5426.807371354484
3201,2,3846.330575079983,58.787,4522.669343401148
3202,2,3847.330575079983,58.774,5879.848386579864
3203,2,3848.330575079983,58.766,3618.662206360418
3204,2,3849.330575079983,58.756,4523.810278444597
3205,2,3850.330575079983,58.748,3619.4339511547955
3206,2,3851.330575079983,58.737,4977.209298744036
3207,2,3852.330575079983,58.727,4525.101586714266
3208,2,3853.330575079983,58.715,5430.514192779511
3209,2,3854.330575079983,58.703,5430.813449577104
3210,2,3855.330575079983,58.693,4526.003881923212
3211,2,3856.330575079983,58.682,4979.004813748188
3212,2,3857.330575079983,58.671,4979.362464752235
3213,2,3858.330575079983,58.66,4979.719631753065
3214,2,3859.330575079983,58.65,4527.380697625427
3215,2,3860.330575079983,58.637,5885.965698071428
3216,2,3861.330575079983,58.624,5886.185299337051
3217,2,3862.330575079983,58.612,5433.650247601129
3218,2,3863.330575079983,58.6,5433.944440395506
3219,2,3864.330575079983,58.586,6339.836198799833
3220,2,3865.330575079983,58.572,6339.961593211185
3221,2,3866.330575079983,58.557,6792.891508928408
3222,2,3867.330575079983,58.545,5434.4657400364
3223,2,3868.330575079983,58.532,5887.603003604678
3224,2,3869.330575079983,58.52,5434.954589688135
3225,2,3870.330575079983,58.504,7246.74504349298
3226,2,3871.330575079983,58.492,5435.162303544898
3227,2,3872.330575079983,58.479,5888.354936068999
3228,2,3873.330575079983,58.463,7247.280385775256
3229,2,3874.330575079983,58.447,7247.167800520815
3230,2,3875.330575079983,58.434,5888.382668299374
3231,2,3876.330575079983,58.418,7247.3116857471405
3232,2,3877.330575079983,58.407,4982.660588772171
3233,2,3878.330575079983,58.394,5888.907563498073
3234,2,3879.330575079983,58.381,5889.114762763696
3235,2,3880.330575079983,58.369,5436.3431356872625
3236,2,3881.330575079983,58.358,4983.616814412235
3237,2,3882.330575079983,58.347,4983.961287409847
3238,2,3883.330575079983,58.332,6796.546922546618
3239,2,3884.330575079983,58.32,5437.379162930968
3240,2,3885.330575079983,58.309,4984.564416052299
3241,2,3886.330575079983,58.3,4078.6300982656703
3242,2,3887.330575079983,58.288,5438.593165049307
3243,2,3888.330575079983,58.278,4532.471418146832
3244,2,3889.330575079983,58.268,4532.859212031815
3245,2,3890.330575079983,58.256,5439.802559167646
3246,2,3891.330575079983,58.245,4986.782936602587
3247,2,3892.330575079983,58.233,5440.450568690201
3248,2,3893.330575079983,58.22,5894.07033097641
3249,2,3894.330575079983,58.21,4534.169088564722
3250,2,3895.330575079983,58.197,5894.768701292513
3251,2,3896.330575079983,58.184,5894.9650325613575
3252,2,3897.330575079983,58.172,5441.733556728284
3253,2,3898.330575079983,58.16,5442.007109522661
3254,2,3899.330575079983,58.147,5895.752735544908
3255,2,3900.330575079983,58.135,5442.458879177613
3256,2,3901.330575079983,58.122,5896.240852671106
3257,2,3902.330575079983,58.113,4082.2865495499514
3258,2,3903.330575079983,58.1,5897.030829582161
3259,2,3904.330575079983,58.088,5443.636330288923
3260,2,3905.330575079983,58.077,4990.2899887970925
3261,2,3906.330575079983,58.067,4536.968583119993
3262,2,3907.330575079983,58.054,5898.4007382143645
3263,2,3908.330575079983,58.042,5444.898557334035
3264,2,3909.330575079983,58.032,4537.716371720661
3265,2,3910.330575079983,58.02,5445.620206787168
3266,2,3911.330575079983,58.008,5445.88636758477
3267,2,3912.330575079983,57.996,5446.151952379147
3268,2,3913.330575079983,57.983,5900.234167975991
3269,2,3914.330575079983,57.97,5900.418851238389
3270,2,3915.330575079983,57.96,4539.0427356893215
3271,2,3916.330575079983,57.947,5901.091663554492
3272,2,3917.330575079983,57.935,5447.37722041723
3273,2,3918.330575079983,57.925,4539.777804289991
3274,2,3919.330575079983,57.914,4994.12467935163
3275,2,3920.330575079983,57.9,6356.4083131137
3276,2,3921.330575079983,57.887,5902.508342857366
3277,2,3922.330575079983,57.872,6810.675975610515
3278,2,3923.330575079983,57.859,5902.662620198708
3279,2,3924.330575079983,57.846,5902.840699467557
3280,2,3925.330575079983,57.836,4540.9009158631225
3281,2,3926.330575079983,57.824,5449.432731765217
3282,2,3927.330575079983,57.808,7266.001424921577
3283,2,3928.330575079983,57.794,6357.720195966864
3284,2,3929.330575079983,57.782,5449.635726545536
