fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
1,,,,841.0,-2803.537241041478,-4089.210572001135,1,0,60.709,0.0
2,,,,842.0,-2802.537241041478,-4088.210572001135,2,0,60.707,0.0
3,,,,841.0,-2801.537241041478,-4087.210572001135,3,0,60.703,0.0
4,,,,841.0,-2800.537241041478,-4086.210572001135,4,0,60.7,0.0
5,,,,841.0,-2799.537241041478,-4085.210572001135,5,0,60.695,0.0
6,,,,842.0,-2798.537241041478,-4084.210572001135,6,0,60.693,0.0
7,,,,842.0,-2797.537241041478,-4083.210572001135,7,0,60.691,0.0
8,,,,842.0,-2796.537241041478,-4082.210572001135,8,0,60.686,0.0
9,,,,842.0,-2795.537241041478,-4081.210572001135,9,0,60.683,0.0
10,,,,842.0,-2794.537241041478,-4080.210572001135,10,0,60.678,0.0
11,,,,841.0,-2793.537241041478,-4079.210572001135,11,0,60.672,0.0
12,,,,841.0,-2792.537241041478,-4078.210572001135,12,0,60.669,0.0
13,,,,842.0,-2791.537241041478,-4077.210572001135,13,0,60.662,0.0
14,,,,842.0,-2790.537241041478,-4076.210572001135,14,0,60.657,0.0
15,,,,842.0,-2789.537241041478,-4075.210572001135,15,0,60.651,0.0
16,,,,843.0,-2788.537241041478,-4074.210572001135,16,0,60.646,0.0
17,,,,842.0,-2787.537241041478,-4073.210572001135,17,0,60.642,0.0
18,,,,842.0,-2786.537241041478,-4072.210572001135,18,0,60.635,0.0
19,,,,841.0,-2785.537241041478,-4071.210572001135,19,0,60.633,0.0
20,,,,838.0,-2784.537241041478,-4070.210572001135,20,0,60.627,0.0
21,,,,834.0,-2783.537241041478,-4069.210572001135,21,0,60.621,0.0
22,,,,831.0,-2782.537241041478,-4068.210572001135,22,0,60.611,0.0
23,,,,827.0,-2781.537241041478,-4067.210572001135,23,0,60.6,0.0
24,,,,827.0,-2780.537241041478,-4066.210572001135,24,0,60.589,0.0
25,,,,831.0,-2779.537241041478,-4065.210572001135,25,0,60.582,0.0
26,,,,836.0,-2778.537241041478,-4064.210572001135,26,0,60.579,0.0
27,,,,839.0,-2777.537241041478,-4063.210572001135,27,0,60.577,0.0
28,,,,838.0,-2776.537241041478,-4062.210572001135,28,0,60.573,0.0
29,,,,835.0,-2775.537241041478,-4061.210572001135,29,0,60.571,0.0
30,,,,832.0,-2774.537241041478,-4060.210572001135,30,0,60.56,0.0
31,,,,826.0,-2773.537241041478,-4059.210572001135,31,0,60.552,0.0
32,,,,824.0,-2772.537241041478,-4058.210572001135,32,0,60.542,0.0
33,,,,824.0,-2771.537241041478,-4057.210572001135,33,0,60.534,0.0
34,,,,825.0,-2770.537241041478,-4056.210572001135,34,0,60.524,0.0
35,,,,826.0,-2769.537241041478,-4055.210572001135,35,0,60.519,0.0
36,,,,828.0,-2768.537241041478,-4054.210572001135,36,0,60.511,0.0
37,,,,828.0,-2767.537241041478,-4053.210572001135,37,0,60.502,0.0
38,,,,830.0,-2766.537241041478,-4052.210572001135,38,0,60.495,0.0
39,,,,832.0,-2765.537241041478,-4051.210572001135,39,0,60.489,0.0
40,,,,833.0,-2764.537241041478,-4050.210572001135,40,0,60.486,0.0
41,,,,834.0,-2763.537241041478,-4049.210572001135,41,0,60.481,0.0
42,,,,834.0,-2762.537241041478,-4048.210572001135,42,0,60.479,0.0
43,,,,834.0,-2761.537241041478,-4047.210572001135,43,0,60.474,0.0
44,,,,833.0,-2760.537241041478,-4046.210572001135,44,0,60.471,0.0
45,,,,831.0,-2759.537241041478,-4045.210572001135,45,0,60.466,0.0
46,,,,828.0,-2758.537241041478,-4044.210572001135,46,0,60.46,0.0
47,,,,825.0,-2757.537241041478,-4043.210572001135,47,0,60.452,0.0
48,,,,824.0,-2756.537241041478,-4042.210572001135,48,0,60.443,0.0
49,,,,823.0,-2755.537241041478,-4041.210572001135,49,0,60.437,0.0
50,,,,823.0,-2754.537241041478,-4040.210572001135,50,0,60.432,0.0
51,,,,823.0,-2753.537241041478,-4039.210572001135,51,0,60.426,0.0
52,,,,823.0,-2752.537241041478,-4038.210572001135,52,0,60.421,0.0
53,,,,822.0,-2751.537241041478,-4037.210572001135,53,0,60.419,0.0
54,,,,819.0,-2750.537241041478,-4036.210572001135,54,0,60.414,0.0
55,,,,815.0,-2749.537241041478,-4035.210572001135,55,0,60.405,0.0
56,,,,812.0,-2748.537241041478,-4034.210572001135,56,0,60.399,0.0
57,,,,811.0,-2747.537241041478,-4033.210572001135,57,0,60.39,0.0
58,,,,812.0,-2746.537241041478,-4032.210572001135,58,0,60.385,0.0
59,,,,814.0,-2745.537241041478,-4031.210572001135,59,0,60.38,0.0
60,,,,814.0,-2744.537241041478,-4030.210572001135,60,0,60.378,0.0
61,,,,813.0,-2743.537241041478,-4029.210572001135,61,0,60.373,0.0
62,,,,810.0,-2742.537241041478,-4028.210572001135,62,0,60.368,0.0
63,,,,806.0,-2741.537241041478,-4027.210572001135,63,0,60.36,0.0
64,,,,804.0,-2740.537241041478,-4026.210572001135,64,0,60.356,0.0
65,,,,803.0,-2739.537241041478,-4025.210572001135,65,0,60.349,0.0
66,,,,803.0,-2738.537241041478,-4024.210572001135,66,0,60.344,0.0
67,,,,804.0,-2737.537241041478,-4023.210572001135,67,0,60.34,0.0
68,,,,805.0,-2736.537241041478,-4022.210572001135,68,0,60.337,0.0
69,,,,804.0,-2735.537241041478,-4021.210572001135,69,0,60.332,0.0
70,,,,802.0,-2734.537241041478,-4020.210572001135,1,1,60.327,0.0
71,,,,800.0,-2733.537241041478,-4019.210572001135,2,1,60.323,0.0
72,,,,799.0,-2732.537241041478,-4018.210572001135,3,1,60.318,0.0
73,,,,799.0,-2731.537241041478,-4017.210572001135,4,1,60.313,0.0
74,,,,798.0,-2730.537241041478,-4016.210572001135,5,1,60.308,0.0
75,,,,797.0,-2729.537241041478,-4015.210572001135,6,1,60.304,0.0
76,,,,797.0,-2728.537241041478,-4014.210572001135,7,1,60.3,0.0
77,,,,797.0,-2727.537241041478,-4013.210572001135,8,1,60.295,0.0
78,,,,799.0,-2726.537241041478,-4012.210572001135,9,1,60.294,0.0
79,,,,801.0,-2725.537241041478,-4011.210572001135,10,1,60.291,0.0
80,,,,801.0,-2724.537241041478,-4010.210572001135,11,1,60.287,0.0
81,,,,800.0,-2723.537241041478,-4009.210572001135,12,1,60.282,0.0
83,,,,799.0,-2721.537241041478,-4007.210572001135,14,1,60.279,0.0
85,,,,799.0,-2719.537241041478,-4005.210572001135,16,1,60.276,0.0
86,,,,801.0,-2718.537241041478,-4004.210572001135,17,1,60.275,0.0
87,,,,802.0,-2717.537241041478,-4003.210572001135,18,1,60.272,0.0
88,,,,802.0,-2716.537241041478,-4002.210572001135,19,1,60.271,0.0
89,,,,800.0,-2715.537241041478,-4001.210572001135,20,1,60.269,0.0
91,,,,796.0,-2713.537241041478,-3999.210572001135,22,1,60.267,0.0
93,,,,795.0,-2711.537241041478,-3997.210572001135,24,1,60.265,0.0
94,,,,795.0,-2710.537241041478,-3996.210572001135,25,1,60.261,0.0
97,,,,795.0,-2707.537241041478,-3993.210572001135,28,1,60.26,0.0
99,,,,794.0,-2705.537241041478,-3991.210572001135,30,1,60.259,0.0
100,,,,794.0,-2704.537241041478,-3990.210572001135,31,1,60.255,0.0
102,,,,793.0,-2702.537241041478,-3988.210572001135,33,1,60.253,0.0
103,,,,792.0,-2701.537241041478,-3987.210572001135,34,1,60.25,0.0
105,,,,790.0,-2699.537241041478,-3985.210572001135,36,1,60.246,0.0
106,,,,788.0,-2698.537241041478,-3984.210572001135,37,1,60.243,0.0
107,,,,787.0,-2697.537241041478,-3983.210572001135,38,1,60.235,0.0
108,,,,786.0,-2696.537241041478,-3982.210572001135,39,1,60.229,0.0
109,,,,786.0,-2695.537241041478,-3981.210572001135,40,1,60.221,0.0
110,,,,787.0,-2694.537241041478,-3980.210572001135,41,1,60.211,0.0
111,,,,787.0,-2693.537241041478,-3979.210572001135,42,1,60.206,0.0
112,,,,787.0,-2692.537241041478,-3978.210572001135,43,1,60.196,0.0
113,,,,789.0,-2691.537241041478,-3977.210572001135,44,1,60.192,0.0
114,,,,790.0,-2690.537241041478,-3976.210572001135,45,1,60.188,0.0
115,,,,792.0,-2689.537241041478,-3975.210572001135,46,1,60.184,0.0
122,,,,800.0,-2682.537241041478,-3968.210572001135,53,1,60.178,0.0
123,,,,801.0,-2681.537241041478,-3967.210572001135,54,1,60.17,0.0
124,,,,802.0,-2680.537241041478,-3966.210572001135,55,1,60.159,0.0
