fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
10,,,,894.0,-2190.426970591061,-3031.465329566278,1,0,44.615,0.0
11,,,,894.0,-2189.426970591061,-3030.465329566278,2,0,44.614,0.0
16,,,,891.0,-2184.426970591061,-3025.465329566278,7,0,44.612,0.0
18,,,,890.0,-2182.426970591061,-3023.465329566278,9,0,44.611,0.0
20,,,,888.0,-2180.426970591061,-3021.465329566278,11,0,44.609,0.0
21,,,,887.0,-2179.426970591061,-3020.465329566278,12,0,44.605,0.0
24,,,,885.0,-2176.426970591061,-3017.465329566278,15,0,44.604,0.0
32,,,,890.0,-2168.426970591061,-3009.465329566278,23,0,44.601,0.0
33,,,,888.0,-2167.426970591061,-3008.465329566278,24,0,44.6,0.0
34,,,,886.0,-2166.426970591061,-3007.465329566278,25,0,44.599,0.0
685,,,,1664.0,-1515.426970591061,-2356.465329566278,607,1,44.596,0.0
686,,,,1663.0,-1514.426970591061,-2355.465329566278,608,1,44.59,0.0
687,,,,1662.0,-1513.426970591061,-2354.465329566278,609,1,44.584,0.0
688,,,,1661.0,-1512.426970591061,-2353.465329566278,610,1,44.573,0.0
689,,,,1659.0,-1511.426970591061,-2352.465329566278,611,1,44.565,0.0
690,,,,1657.0,-1510.426970591061,-2351.465329566278,612,1,44.554,0.0
691,,,,1656.0,-1509.426970591061,-2350.465329566278,613,1,44.544,0.0
692,,,,1656.0,-1508.426970591061,-2349.465329566278,614,1,44.531,0.0
693,,,,1656.0,-1507.426970591061,-2348.465329566278,615,1,44.519,0.0
694,,,,1656.0,-1506.426970591061,-2347.465329566278,616,1,44.507,0.0
695,,,,1656.0,-1505.426970591061,-2346.465329566278,617,1,44.493,0.0
696,,,,1657.0,-1504.426970591061,-2345.465329566278,618,1,44.483,0.0
697,,,,1657.0,-1503.426970591061,-2344.465329566278,619,1,44.471,0.0
698,,,,1658.0,-1502.426970591061,-2343.465329566278,620,1,44.461,0.0
699,,,,1658.0,-1501.426970591061,-2342.465329566278,621,1,44.447,0.0
700,,,,1658.0,-1500.426970591061,-2341.465329566278,622,1,44.435,0.0
701,,,,1659.0,-1499.426970591061,-2340.465329566278,623,1,44.424,0.0
702,,,,1659.0,-1498.426970591061,-2339.465329566278,624,1,44.41,0.0
703,,,,1659.0,-1497.426970591061,-2338.465329566278,625,1,44.398,0.0
704,,,,1659.0,-1496.426970591061,-2337.465329566278,626,1,44.388,0.0
705,,,,1659.0,-1495.426970591061,-2336.465329566278,627,1,44.375,0.0
706,,,,1660.0,-1494.426970591061,-2335.465329566278,628,1,44.363,0.0
707,,,,1660.0,-1493.426970591061,-2334.465329566278,629,1,44.352,0.0
708,,,,1660.0,-1492.426970591061,-2333.465329566278,630,1,44.342,0.0
709,,,,1660.0,-1491.426970591061,-2332.465329566278,631,1,44.331,0.0
710,,,,1660.0,-1490.426970591061,-2331.465329566278,632,1,44.32,0.0
711,,,,1660.0,-1489.426970591061,-2330.465329566278,633,1,44.31,0.0
712,,,,1661.0,-1488.426970591061,-2329.465329566278,634,1,44.302,0.0
713,,,,1661.0,-1487.426970591061,-2328.465329566278,635,1,44.296,0.0
714,,,,1661.0,-1486.426970591061,-2327.465329566278,636,1,44.292,0.0
715,,,,1661.0,-1485.426970591061,-2326.465329566278,637,1,44.288,0.0
718,,,,1662.0,-1482.426970591061,-2323.465329566278,640,1,44.285,0.0
961,,,,1601.0,-1239.426970591061,-2080.465329566278,883,1,44.28,0.0
962,,,,1600.0,-1238.426970591061,-2079.465329566278,884,1,44.272,0.0
963,,,,1598.0,-1237.426970591061,-2078.465329566278,885,1,44.259,0.0
964,,,,1598.0,-1236.426970591061,-2077.465329566278,886,1,44.247,0.0
965,,,,1598.0,-1235.426970591061,-2076.465329566278,887,1,44.237,0.0
966,,,,1598.0,-1234.426970591061,-2075.465329566278,888,1,44.227,0.0
967,,,,1598.0,-1233.426970591061,-2074.465329566278,889,1,44.218,0.0
968,,,,1597.0,-1232.426970591061,-2073.465329566278,890,1,44.206,0.0
969,,,,1596.0,-1231.426970591061,-2072.465329566278,891,1,44.197,0.0
970,,,,1595.0,-1230.426970591061,-2071.465329566278,892,1,44.185,0.0
971,,,,1594.0,-1229.426970591061,-2070.465329566278,893,1,44.172,0.0
972,,,,1594.0,-1228.426970591061,-2069.465329566278,894,1,44.162,0.0
973,,,,1595.0,-1227.426970591061,-2068.465329566278,895,1,44.149,0.0
974,,,,1595.0,-1226.426970591061,-2067.465329566278,896,1,44.137,0.0
975,,,,1595.0,-1225.426970591061,-2066.465329566278,897,1,44.129,0.0
976,,,,1595.0,-1224.426970591061,-2065.465329566278,898,1,44.116,0.0
977,,,,1595.0,-1223.426970591061,-2064.465329566278,899,1,44.104,0.0
978,,,,1595.0,-1222.426970591061,-2063.465329566278,900,1,44.094,0.0
979,,,,1595.0,-1221.426970591061,-2062.465329566278,901,1,44.079,0.0
980,,,,1596.0,-1220.426970591061,-2061.465329566278,902,1,44.07,0.0
981,,,,1596.0,-1219.426970591061,-2060.465329566278,903,1,44.059,0.0
982,,,,1596.0,-1218.426970591061,-2059.465329566278,904,1,44.047,0.0
983,,,,1596.0,-1217.426970591061,-2058.465329566278,905,1,44.037,0.0
984,,,,1596.0,-1216.426970591061,-2057.465329566278,906,1,44.025,0.0
985,,,,1596.0,-1215.426970591061,-2056.465329566278,907,1,44.016,0.0
986,,,,1596.0,-1214.426970591061,-2055.465329566278,908,1,44.004,0.0
987,,,,1597.0,-1213.426970591061,-2054.465329566278,909,1,43.996,0.0
988,,,,1597.0,-1212.426970591061,-2053.465329566278,910,1,43.986,0.0
989,,,,1597.0,-1211.426970591061,-2052.465329566278,911,1,43.977,0.0
990,,,,1597.0,-1210.426970591061,-2051.465329566278,912,1,43.971,0.0
991,,,,1596.0,-1209.426970591061,-2050.465329566278,913,1,43.966,0.0
992,,,,1596.0,-1208.426970591061,-2049.465329566278,914,1,43.963,0.0
993,,,,1595.0,-1207.426970591061,-2048.465329566278,915,1,43.962,0.0
1752,,,,1772.0,-448.426970591061,-1289.465329566278,1674,1,43.959,0.0
1753,,,,1771.0,-447.426970591061,-1288.465329566278,1675,1,43.949,0.0
1754,,,,1770.0,-446.426970591061,-1287.465329566278,1676,1,43.94,0.0
1755,,,,1771.0,-445.426970591061,-1286.465329566278,1677,1,43.934,0.0
