fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
4,1,1,58.330575079983,-4977.827865490872,,,,841.0,60.717
15,1,12,69.330575079983,-4966.827865490872,,,,838.0,60.714
16,1,13,70.330575079983,-4965.827865490872,,,,840.0,60.71
17,1,14,71.330575079983,-4964.827865490872,,,,842.0,60.703
19,1,16,73.330575079983,-4962.827865490872,,,,846.0,60.702
20,1,17,74.330575079983,-4961.827865490872,,,,844.0,60.7
21,1,18,75.330575079983,-4960.827865490872,,,,841.0,60.694
22,1,19,76.330575079983,-4959.827865490872,,,,840.0,60.687
23,1,20,77.330575079983,-4958.827865490872,,,,840.0,60.681
24,1,21,78.330575079983,-4957.827865490872,,,,841.0,60.675
25,1,22,79.330575079983,-4956.827865490872,,,,840.0,60.67
26,1,23,80.330575079983,-4955.827865490872,,,,839.0,60.664
27,1,24,81.330575079983,-4954.827865490872,,,,836.0,60.657
28,1,25,82.330575079983,-4953.827865490872,,,,833.0,60.647
29,1,26,83.330575079983,-4952.827865490872,,,,833.0,60.639
30,1,27,84.330575079983,-4951.827865490872,,,,835.0,60.63
31,1,28,85.330575079983,-4950.827865490872,,,,838.0,60.624
32,1,29,86.330575079983,-4949.827865490872,,,,839.0,60.622
33,1,30,87.330575079983,-4948.827865490872,,,,839.0,60.616
34,1,31,88.330575079983,-4947.827865490872,,,,837.0,60.611
35,1,32,89.330575079983,-4946.827865490872,,,,834.0,60.601
36,1,33,90.330575079983,-4945.827865490872,,,,834.0,60.59
37,1,34,91.330575079983,-4944.827865490872,,,,836.0,60.584
38,1,35,92.330575079983,-4943.827865490872,,,,839.0,60.578
39,1,36,93.330575079983,-4942.827865490872,,,,840.0,60.576
40,1,37,94.330575079983,-4941.827865490872,,,,840.0,60.571
41,1,38,95.330575079983,-4940.827865490872,,,,839.0,60.566
42,1,39,96.330575079983,-4939.827865490872,,,,837.0,60.561
43,1,40,97.330575079983,-4938.827865490872,,,,834.0,60.554
