fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
14,2,1,-1468.900052738152,-5403.949405636073,,,,889.0,44.607
18,2,5,-1464.900052738152,-5399.949405636073,,,,885.0,44.602
19,2,6,-1463.900052738152,-5398.949405636073,,,,882.0,44.598
20,2,7,-1462.900052738152,-5397.949405636073,,,,881.0,44.593
21,2,8,-1461.900052738152,-5396.949405636073,,,,882.0,44.589
22,2,9,-1460.900052738152,-5395.949405636073,,,,883.0,44.588
26,2,13,-1456.900052738152,-5391.949405636073,,,,882.0,44.584
27,2,14,-1455.900052738152,-5390.949405636073,,,,881.0,44.581
28,2,15,-1454.900052738152,-5389.949405636073,,,,880.0,44.571
29,2,16,-1453.900052738152,-5388.949405636073,,,,882.0,44.568
30,2,17,-1452.900052738152,-5387.949405636073,,,,882.0,44.562
31,2,18,-1451.900052738152,-5386.949405636073,,,,883.0,44.559
32,2,19,-1450.900052738152,-5385.949405636073,,,,883.0,44.558
33,2,20,-1449.900052738152,-5384.949405636073,,,,883.0,44.556
34,2,21,-1448.900052738152,-5383.949405636073,,,,884.0,44.554
35,2,22,-1447.900052738152,-5382.949405636073,,,,884.0,44.552
937,2,924,-545.900052738152,-4480.949405636073,,,,1757.0,44.549
938,2,925,-544.900052738152,-4479.949405636073,,,,1756.0,44.54
939,2,926,-543.900052738152,-4478.949405636073,,,,1754.0,44.529
940,2,927,-542.900052738152,-4477.949405636073,,,,1752.0,44.514
941,2,928,-541.900052738152,-4476.949405636073,,,,1752.0,44.502
942,2,929,-540.900052738152,-4475.949405636073,,,,1753.0,44.489
943,2,930,-539.900052738152,-4474.949405636073,,,,1755.0,44.476
944,2,931,-538.900052738152,-4473.949405636073,,,,1758.0,44.467
945,2,932,-537.900052738152,-4472.949405636073,,,,1760.0,44.458
946,2,933,-536.900052738152,-4471.949405636073,,,,1763.0,44.45
947,2,934,-535.900052738152,-4470.949405636073,,,,1765.0,44.441
948,2,935,-534.900052738152,-4469.949405636073,,,,1766.0,44.43
949,2,936,-533.900052738152,-4468.949405636073,,,,1768.0,44.422
950,2,937,-532.900052738152,-4467.949405636073,,,,1770.0,44.414
951,2,938,-531.900052738152,-4466.949405636073,,,,1772.0,44.408
952,2,939,-530.900052738152,-4465.949405636073,,,,1774.0,44.401
953,2,940,-529.900052738152,-4464.949405636073,,,,1776.0,44.397
954,2,941,-528.900052738152,-4463.949405636073,,,,1776.0,44.391
955,2,942,-527.900052738152,-4462.949405636073,,,,1777.0,44.387
956,2,943,-526.900052738152,-4461.949405636073,,,,1779.0,44.381
957,2,944,-525.900052738152,-4460.949405636073,,,,1782.0,44.377
958,2,945,-524.900052738152,-4459.949405636073,,,,1786.0,44.374
959,2,946,-523.900052738152,-4458.949405636073,,,,1789.0,44.371
960,2,947,-522.900052738152,-4457.949405636073,,,,1790.0,44.368
961,2,948,-521.900052738152,-4456.949405636073,,,,1789.0,44.364
962,2,949,-520.900052738152,-4455.949405636073,,,,1787.0,44.358
963,2,950,-519.900052738152,-4454.949405636073,,,,1784.0,44.353
964,2,951,-518.900052738152,-4453.949405636073,,,,1783.0,44.344
965,2,952,-517.900052738152,-4452.949405636073,,,,1781.0,44.336
966,2,953,-516.900052738152,-4451.949405636073,,,,1781.0,44.33
967,2,954,-515.900052738152,-4450.949405636073,,,,1779.0,44.324
968,2,955,-514.900052738152,-4449.949405636073,,,,1778.0,44.322
972,2,959,-510.900052738152,-4445.949405636073,,,,1768.0,44.321
973,2,960,-509.900052738152,-4444.949405636073,,,,1766.0,44.32
974,2,961,-508.900052738152,-4443.949405636073,,,,1764.0,44.317
975,2,962,-507.900052738152,-4442.949405636073,,,,1763.0,44.315
976,2,963,-506.900052738152,-4441.949405636073,,,,1760.0,44.311
977,2,964,-505.900052738152,-4440.949405636073,,,,1758.0,44.306
978,2,965,-504.900052738152,-4439.949405636073,,,,1756.0,44.302
979,2,966,-503.900052738152,-4438.949405636073,,,,1755.0,44.295
980,2,967,-502.900052738152,-4437.949405636073,,,,1755.0,44.289
981,2,968,-501.900052738152,-4436.949405636073,,,,1755.0,44.284
982,2,969,-500.900052738152,-4435.949405636073,,,,1754.0,44.277
983,2,970,-499.900052738152,-4434.949405636073,,,,1753.0,44.268
984,2,971,-498.900052738152,-4433.949405636073,,,,1751.0,44.257
985,2,972,-497.900052738152,-4432.949405636073,,,,1749.0,44.245
986,2,973,-496.900052738152,-4431.949405636073,,,,1749.0,44.234
987,2,974,-495.900052738152,-4430.949405636073,,,,1750.0,44.225
988,2,975,-494.900052738152,-4429.949405636073,,,,1750.0,44.215
989,2,976,-493.900052738152,-4428.949405636073,,,,1749.0,44.209
990,2,977,-492.900052738152,-4427.949405636073,,,,1747.0,44.199
991,2,978,-491.900052738152,-4426.949405636073,,,,1744.0,44.191
992,2,979,-490.900052738152,-4425.949405636073,,,,1740.0,44.184
993,2,980,-489.900052738152,-4424.949405636073,,,,1734.0,44.179
1759,2,1746,276.099947261848,-3658.949405636073,,,,1665.0,44.174
1760,2,1747,277.099947261848,-3657.949405636073,,,,1666.0,44.165
1761,2,1748,278.099947261848,-3656.949405636073,,,,1668.0,44.157
1762,2,1749,279.099947261848,-3655.949405636073,,,,1672.0,44.148
1763,2,1750,280.099947261848,-3654.949405636073,,,,1674.0,44.141
1764,2,1751,281.099947261848,-3653.949405636073,,,,1674.0,44.13
1765,2,1752,282.099947261848,-3652.949405636073,,,,1675.0,44.127
1780,2,1767,297.099947261848,-3637.949405636073,,,,1706.0,44.118
1781,2,1768,298.099947261848,-3636.949405636073,,,,1709.0,44.11
1782,2,1769,299.099947261848,-3635.949405636073,,,,1712.0,44.101
1783,2,1770,300.099947261848,-3634.949405636073,,,,1716.0,44.089
1784,2,1771,301.099947261848,-3633.949405636073,,,,1718.0,44.085
2088,2,2075,605.099947261848,-3329.949405636073,,,,1804.0,44.078
2089,2,2076,606.099947261848,-3328.949405636073,,,,1802.0,44.069
2090,2,2077,607.099947261848,-3327.949405636073,,,,1802.0,44.054
2091,2,2078,608.099947261848,-3326.949405636073,,,,1803.0,44.041
2092,2,2079,609.099947261848,-3325.949405636073,,,,1804.0,44.032
2093,2,2080,610.099947261848,-3324.949405636073,,,,1804.0,44.025
2094,2,2081,611.099947261848,-3323.949405636073,,,,1805.0,44.021
2095,2,2082,612.099947261848,-3322.949405636073,,,,1808.0,44.018
2096,2,2083,613.099947261848,-3321.949405636073,,,,1810.0,44.013
2097,2,2084,614.099947261848,-3320.949405636073,,,,1811.0,44.007
