fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,,,,,2019-05-26T10:47:16Z,45.55261667,6.10525000,832.00,
2,,,,,2019-05-26T10:47:17Z,45.55251667,6.10531667,831.00,
3,,,,,2019-05-26T10:47:18Z,45.55246667,6.10536667,833.00,
4,,,,,2019-05-26T10:47:19Z,45.55241667,6.10541667,834.00,
5,,,,,2019-05-26T10:47:20Z,45.55241667,6.10545000,834.00,
6,,,,,2019-05-26T10:47:21Z,45.55236667,6.10546667,833.00,
7,,,,,2019-05-26T10:47:22Z,45.55231667,6.10551667,832.00,
8,,,,,2019-05-26T10:47:23Z,45.55226667,6.10556667,832.00,
9,,,,,2019-05-26T10:47:24Z,45.55220000,6.10556667,832.00,
10,,,,,2019-05-26T10:47:25Z,45.55211667,6.10556667,834.00,
11,,,,,2019-05-26T10:47:26Z,45.55210000,6.10556667,838.00,
12,,,,,2019-05-26T10:47:27Z,45.55206667,6.10555000,840.00,
13,,,,,2019-05-26T10:47:28Z,45.55201667,6.10555000,841.00,
14,,,,,2019-05-26T10:47:29Z,45.55196667,6.10555000,841.00,
15,,,,,2019-05-26T10:47:30Z,45.55191667,6.10556667,840.00,
16,,,,,2019-05-26T10:47:31Z,45.55185000,6.10555000,842.00,
17,,,,,2019-05-26T10:47:32Z,45.55180000,6.10555000,842.00,
18,,,,,2019-05-26T10:47:33Z,45.55176667,6.10551667,843.00,
19,,,,,2019-05-26T10:47:34Z,45.55171667,6.10550000,843.00,
20,,,,,2019-05-26T10:47:35Z,45.55165000,6.10550000,842.00,
21,,,,,2019-05-26T10:47:36Z,45.55156667,6.10550000,841.00,
22,,,,,2019-05-26T10:47:37Z,45.55151667,6.10550000,840.00,
23,,,,,2019-05-26T10:47:38Z,45.55146667,6.10546667,840.00,
24,,,,,2019-05-26T10:47:39Z,45.55141667,6.10546667,841.00,
25,,,,,2019-05-26T10:47:40Z,45.55136667,6.10546667,841.00,
26,,,,,2019-05-26T10:47:41Z,45.55131667,6.10545000,842.00,
27,,,,,2019-05-26T10:47:42Z,45.55126667,6.10541667,841.00,
28,,,,,2019-05-26T10:47:43Z,45.55121667,6.10541667,840.00,
29,,,,,2019-05-26T10:47:44Z,45.55115000,6.10541667,839.00,
30,,,,,2019-05-26T10:47:45Z,45.55106667,6.10541667,838.00,
31,,,,,2019-05-26T10:47:46Z,45.55101667,6.10541667,839.00,
32,,,,,2019-05-26T10:47:47Z,45.55096667,6.10541667,841.00,
33,,,,,2019-05-26T10:47:48Z,45.55095000,6.10541667,842.00,
34,,,,,2019-05-26T10:47:49Z,45.55091667,6.10540000,842.00,
35,,,,,2019-05-26T10:47:50Z,45.55086667,6.10540000,843.00,
36,,,,,2019-05-26T10:47:51Z,45.55081667,6.10541667,842.00,
37,,,,,2019-05-26T10:47:52Z,45.55075000,6.10541667,842.00,
38,,,,,2019-05-26T10:47:53Z,45.55070000,6.10541667,841.00,
39,,,,,2019-05-26T10:47:54Z,45.55065000,6.10541667,839.00,
40,,,,,2019-05-26T10:47:55Z,45.55060000,6.10536667,839.00,
41,,,,,2019-05-26T10:47:56Z,45.55056667,6.10535000,838.00,
42,,,,,2019-05-26T10:47:57Z,45.55051667,6.10535000,837.00,
43,,,,,2019-05-26T10:47:58Z,45.55046667,6.10535000,836.00,
44,,,,,2019-05-26T10:47:59Z,45.55040000,6.10531667,834.00,
45,,,,,2019-05-26T10:48:00Z,45.55035000,6.10530000,834.00,
46,,,,,2019-05-26T10:48:01Z,45.55031667,6.10526667,834.00,
47,,,,,2019-05-26T10:48:02Z,45.55026667,6.10526667,833.00,
48,,,,,2019-05-26T10:48:03Z,45.55021667,6.10526667,832.00,
49,,,,,2019-05-26T10:48:04Z,45.55016667,6.10530000,830.00,
50,,,,,2019-05-26T10:48:05Z,45.55010000,6.10531667,828.00,
51,,,,,2019-05-26T10:48:06Z,45.55005000,6.10535000,827.00,
52,,,,,2019-05-26T10:48:07Z,45.55000000,6.10536667,826.00,
53,,,,,2019-05-26T10:48:08Z,45.54996667,6.10536667,825.00,
